128.198.68.166 - - [10/Apr/2017:16:48:24 -0600] "GET /My_Web_Page_Mathew_Flynn/css/index1.css HTTP/1.1" 200 1020 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:24 -0600] "GET /My_Web_Page_Mathew_Flynn/images/logo.png HTTP/1.1" 200 208016 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:24 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute6.jpg HTTP/1.1" 200 451439 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:27 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute1.jpg HTTP/1.1" 200 373866 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:28 -0600] "GET /My_Web_Page_Mathew_Flynn/index1.html HTTP/1.1" 200 1268 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:28 -0600] "GET /My_Web_Page_Mathew_Flynn/css/index1.css HTTP/1.1" 200 1020 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:28 -0600] "GET /My_Web_Page_Mathew_Flynn/scripts/rotate.js HTTP/1.1" 200 928 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:28 -0600] "GET /My_Web_Page_Mathew_Flynn/images/logo.png HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:28 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute6.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:29 -0600] "GET /My_Web_Page_Mathew_Flynn/pages/contact.html HTTP/1.1" 200 1430 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
